"","Id","LotArea","LotShape","LandContour","Utilities","LotConfig","Slope","DwellClass","OverallQuality","OverallCondition","YearBuilt","ExteriorCondition","BasementCondition","TotalBSF","CentralAir","LowQualFinSF","LivingArea","FullBath","HalfBath","BedroomAbvGr","KitchenQuality","KitchenAbvGr","Fireplaces","GarageType","GarageCars","PavedDrive","PoolArea","OpenPorchSF","MoSold","YrSold","SalePrice","LandContour_HLS","LandContour_Low","LandContour_Lv1","Utilities_Allpub","LotConfig_CulDSac","LotConfig_FR2","LotConfig_FR3","LotConfig_Inside","Slope_Mod","Slope_Sev","DwellClass_2fmCon","DwellClass_Duplex","DwellClass_Twnhs","DwellClass_TwnhsE","CentralAir_Y","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","ExteriorCondition_Code","BasementCondition_Code","KitchenQuality_Code","PavedDrive_Code","Garage_Attchd_Cars","Garage_Detchd_Cars","Garage_BuiltIn_Cars","Garage_Basment_Cars","OverallQuality_YearBuilt","TotalBSF_Bedrooms","KitchenQuality_KitchenAbvGr","TotalBSF_BasementCondition","ExteriorCondition_Code_OverallCondition","ExteriorCondition_YearBuilt","SalesQuarter","SalesQuarter_MoSold","QtrSold","QtrSold_MoSold"
"1128",960,2572,4,"Lvl","AllPub","FR2","Gtl","Twnhs",7,5,1999,"TA","TA",696,"Y",0,1416,2,1,3,"Gd",1,0,"Detchd",2,"Y",0,44,5,2010,155000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,2,1,0,2,0,0,13993,2088,2,1392,10,3998,"Q2","Q2.5","2","2.5"
"821",468,9480,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,7,1942,"TA","TA",728,"Y",0,1644,1,1,3,"Gd",1,2,"Attchd",1,"Y",0,0,6,2007,146500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,1,0,0,0,9710,2184,2,1456,14,3884,"Q2","Q2.6","2","2.6"
"1277",1191,32463,4,"Low","AllPub","Inside","Mod","2fmCon",4,4,1961,"Gd","TA",1249,"Y",0,1622,1,0,3,"TA",1,1,"2Types",4,"Y",0,0,3,2007,168000,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,2,3,1,0,0,0,0,7844,3747,3,2498,4,1961,"Q1","Q1.3","1","1.3"
"711",283,5063,4,"Lvl","AllPub","Inside","Gtl","Twnhs",7,5,2007,"TA","TA",1314,"Y",0,1314,2,0,2,"Gd",1,1,"Attchd",2,"Y",0,62,4,2009,207500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14049,2628,2,2628,10,4014,"Q2","Q2.4","2","2.4"
"349",1037,12898,3,"HLS","AllPub","Inside","Gtl","1Fam",9,5,2007,"TA","TA",1620,"Y",0,1620,2,0,2,"Ex",1,1,"Attchd",3,"Y",0,0,9,2009,315500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,1,3,0,0,0,18063,3240,1,3240,10,4014,"Q3","Q3.9","3","3.9"
"1305",1232,7728,4,"Lvl","AllPub","Inside","Gtl","Duplex",5,6,1962,"TA","TA",1106,"Y",0,1190,1,0,3,"TA",1,0,"Attchd",2,"Y",0,18,5,2006,132500,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,9810,3318,3,2212,12,3924,"Q2","Q2.5","2","2.5"
"386",1166,9541,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2009,"TA","TA",1502,"Y",0,1502,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,114,9,2009,233170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14063,4506,2,3004,10,4018,"Q3","Q3.9","3","3.9"
"1165",1016,8400,4,"Lvl","AllPub","Inside","Gtl","1Fam",8,6,2001,"TA","TA",810,"Y",0,1665,2,1,3,"Gd",1,0,"Attchd",2,"Y",0,45,11,2009,227000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,16008,2430,2,1620,12,4002,"Q4","Q4.11","4","4.11"
"24",68,10665,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2003,"TA","TA",1453,"Y",0,1479,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,29,6,2007,226000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14021,4359,2,2906,10,4006,"Q2","Q2.6","2","2.6"
"945",659,17503,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1948,"TA","TA",1064.51174377224,"Y",0,1458,1,0,3,"TA",1,1,"Attchd",1,"Y",0,0,1,2010,97500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,1,0,0,0,11688,3193.53523131673,3,2129.02348754448,10,3896,"Q1","Q1.1","1","1.1"
"1023",797,8197,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1977,"TA","TA",660,"Y",0,1285,1,1,3,"TA",1,1,"Attchd",2,"Y",0,0,4,2007,143500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,11862,1980,3,1320,10,3954,"Q2","Q2.4","2","2.4"
"1154",1001,10206,4,"Lvl","AllPub","Corner","Gtl","1Fam",3,3,1952,"TA","NB",0,"N",0,944,1,0,2,"Fa",1,0,"Detchd",2,"Y",0,0,7,2009,82000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,1,0,2,0,0,5856,0,4,0,6,3904,"Q3","Q3.7","3","3.7"
"1361",1324,5330,4,"HLS","AllPub","Inside","Gtl","1Fam",4,7,1940,"TA","TA",420,"Y",0,708,1,0,2,"Fa",1,0,"Attchd",0,"Y",0,0,12,2009,82500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,4,1,0,0,0,0,7760,840,4,840,14,3880,"Q4","Q4.12","4","4.12"
"170",504,15602,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,8,1959,"TA","TA",1501,"Y",0,1801,2,0,1,"TA",1,2,"Attchd",2,"Y",0,54,3,2010,289000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,13713,1501,3,3002,16,3918,"Q1","Q1.3","1","1.3"
"1297",1220,1680,4,"Lvl","AllPub","Inside","Gtl","Twnhs",6,5,1971,"TA","TA",672,"Y",0,1218,1,1,3,"TA",1,0,"Attchd",0,"N",0,0,4,2006,91500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,2,3,3,0,0,0,0,11826,2016,3,1344,10,3942,"Q2","Q2.4","2","2.4"
"422",1269,14100,3,"Lvl","AllPub","Inside","Mod","1Fam",8,9,1935,"Gd","TA",728,"Y",0,3447,3,1,4,"Gd",1,2,"BuiltIn",3,"Y",0,12,5,2008,381000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,2,2,1,0,0,3,0,15480,2912,2,1456,9,1935,"Q2","Q2.5","2","2.5"
"508",770,53504,2,"HLS","AllPub","CulDSac","Mod","1Fam",8,5,2003,"TA","TA",1650,"Y",0,3279,3,1,4,"Ex",1,1,"BuiltIn",3,"Y",0,36,6,2010,538000,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,2,1,1,0,0,3,0,16024,6600,1,3300,10,4006,"Q2","Q2.6","2","2.6"
"64",177,10029,3,"Lvl","AllPub","Corner","Gtl","1Fam",6,5,1988,"TA","TA",1151,"Y",0,2060,2,1,4,"TA",1,1,"Attchd",2,"Y",0,228,9,2007,211000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,11928,4604,3,2302,10,3976,"Q3","Q3.9","3","3.9"
"80",232,15138,3,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,1995,"TA","TA",1462,"Y",0,2794,2,1,4,"Ex",1,1,"Attchd",3,"Y",0,146,7,2009,403000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,1,3,0,0,0,15960,5848,1,2924,10,3990,"Q3","Q3.7","3","3.7"
"548",27,7200,4,"Lvl","AllPub","Corner","Gtl","1Fam",5,7,1951,"TA","TA",900,"Y",0,900,1,0,3,"Gd",1,0,"Detchd",2,"Y",0,32,5,2010,134800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,1,0,2,0,0,9755,2700,2,1800,14,3902,"Q2","Q2.5","2","2.5"
"987",730,6240,4,"Lvl","AllPub","Inside","Gtl","1Fam",4,5,1925,"TA","TA",780,"Y",360,1208,1,0,2,"TA",1,0,"Detchd",2,"Y",0,23,1,2009,103000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,1,0,2,0,0,7700,1560,3,1560,10,3850,"Q1","Q1.1","1","1.1"
"475",1424,19690,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",6,7,1966,"Gd","TA",697,"Y",0,2201,2,0,4,"Gd",1,1,"Attchd",2,"Y",738,236,8,2006,274970,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,1,2,0,0,0,11796,2788,2,1394,7,1966,"Q3","Q3.8","3","3.8"
"1372",1341,8294,4,"Lvl","AllPub","Inside","Gtl","1Fam",4,5,1971,"TA","TA",858,"Y",0,872,1,0,3,"TA",1,0,"Detchd",4,"Y",0,0,6,2007,123000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,1,0,4,0,0,7884,2574,3,1716,10,3942,"Q2","Q2.6","2","2.6"
"765",384,9000,4,"Lvl","AllPub","Corner","Gtl","1Fam",6,3,1928,"TA","Fa",784,"N",0,784,1,0,2,"TA",1,0,"Detchd",2,"N",0,0,10,2009,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,0,2,0,0,11568,1568,3,2352,6,3856,"Q4","Q4.10","4","4.10"
"479",1432,4928,3,"Lvl","AllPub","Inside","Gtl","TwnhsE",6,6,1976,"TA","TA",958,"Y",0,958,2,0,2,"TA",1,0,"Attchd",2,"Y",0,60,10,2009,143750,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,3,1,2,0,0,0,11856,1916,3,1916,12,3952,"Q4","Q4.10","4","4.10"
"1135",972,2268,4,"Lvl","AllPub","Inside","Gtl","Twnhs",7,5,2003,"TA","TA",764,"Y",0,1626,2,0,2,"Gd",1,0,"BuiltIn",2,"Y",0,27,7,2009,173000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,2,2,1,0,0,2,0,14021,1528,2,1528,10,4006,"Q3","Q3.7","3","3.7"
"791",424,9200,4,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,1998,"TA","TA",1470,"Y",0,2630,2,1,4,"Gd",1,1,"Attchd",3,"Y",0,66,6,2008,315000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,3,0,0,0,15984,5880,2,2940,10,3996,"Q2","Q2.6","2","2.6"
"1421",1416,3635,4,"Lvl","AllPub","Inside","Gtl","TwnhsE",7,5,2007,"TA","TA",1386,"Y",0,1569,2,0,1,"Gd",1,1,"Attchd",3,"Y",0,20,5,2009,175900,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,2,1,3,0,0,0,14049,1386,2,2772,10,4014,"Q2","Q2.5","2","2.5"
"807",445,8750,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1994,"Gd","TA",915,"Y",0,1908,2,1,4,"Gd",1,1,"Attchd",2,"Y",0,133,7,2008,210000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,1,2,0,0,0,13958,3660,2,1830,5,1994,"Q3","Q3.7","3","3.7"
"292",867,10656,3,"HLS","AllPub","Inside","Gtl","1Fam",8,5,2006,"TA","TA",1638,"Y",0,1646,2,0,3,"Gd",1,1,"Attchd",3,"Y",0,80,11,2007,248900,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,3,0,0,0,16048,4914,2,3276,10,4012,"Q4","Q4.11","4","4.11"
"297",886,5119,3,"Lvl","AllPub","CulDSac","Gtl","TwnhsE",9,5,1999,"TA","TA",1698,"Y",0,1709,2,0,2,"Gd",1,1,"Attchd",2,"Y",0,65,1,2008,328900,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,2,1,2,0,0,0,17991,3396,2,3396,10,3998,"Q1","Q1.1","1","1.1"
"860",533,7200,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,7,1955,"TA","NB",0,"Y",0,827,1,0,2,"TA",1,1,"Detchd",1,"Y",0,0,4,2010,107500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,4,3,1,0,1,0,0,9775,0,3,0,14,3910,"Q2","Q2.4","2","2.4"
"605",117,11616,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1962,"TA","TA",1092,"Y",0,1092,1,0,3,"TA",1,1,"Attchd",1,"Y",0,20,9,2009,139000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,1,0,0,0,9810,3276,3,2184,10,3924,"Q3","Q3.9","3","3.9"
"637",165,5400,4,"Lvl","AllPub","Corner","Gtl","1Fam",6,7,1926,"Gd","TA",1149,"Y",0,1616,2,0,3,"Gd",1,0,"Detchd",1,"Y",0,0,10,2007,152000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,1,0,1,0,0,11556,3447,2,2298,7,1926,"Q4","Q4.10","4","4.10"
"1390",1373,9750,4,"Lvl","AllPub","Corner","Gtl","1Fam",7,6,1998,"TA","TA",1108,"Y",0,2097,2,1,3,"Gd",1,1,"Detchd",2,"Y",0,170,6,2006,274300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,1,0,2,0,0,13986,3324,2,2216,12,3996,"Q2","Q2.6","2","2.6"
"1205",1076,13125,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,6,1940,"TA","TA",800,"Y",0,1740,1,1,3,"TA",1,2,"Attchd",1,"Y",0,0,7,2007,219500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,1,0,0,0,13580,2400,3,1600,12,3880,"Q3","Q3.7","3","3.7"
"1298",1222,8250,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1968,"TA","TA",952,"Y",0,1211,1,0,3,"TA",1,1,"Attchd",1,"Y",0,63,8,2008,134000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,1,0,0,0,9840,2856,3,1904,10,3936,"Q3","Q3.8","3","3.8"
"1057",844,8000,4,"Lvl","AllPub","Corner","Gtl","Duplex",5,4,1961,"TA","TA",1800,"N",0,1800,2,0,6,"TA",2,0,"Attchd",0,"Y",0,0,7,2007,141000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,3,1,0,0,0,0,9805,10800,6,3600,8,3922,"Q3","Q3.7","3","3.7"
"83",252,4750,3,"HLS","AllPub","Inside","Mod","TwnhsE",8,5,2006,"TA","TA",1573,"Y",0,1625,2,0,2,"Gd",1,1,"Attchd",2,"Y",0,0,12,2007,235000,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,2,2,1,2,0,0,0,16048,3146,2,3146,10,4012,"Q4","Q4.12","4","4.12"
"866",543,10140,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1998,"TA","TA",1650,"Y",0,1680,2,0,3,"Gd",1,1,"Attchd",2,"Y",0,73,6,2009,213250,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,13986,4950,2,3300,10,3996,"Q2","Q2.6","2","2.6"
"1402",1388,8520,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,7,1916,"Gd","TA",714,"N",0,1517.22206703911,2,0,5,"Gd",1,1,"Detchd",1,"Y",0,15,8,2007,136000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,1,0,0,11496,3570,2,1428,7,1916,"Q3","Q3.8","3","3.8"
"1207",1079,4435,4,"Lvl","AllPub","Inside","Gtl","TwnhsE",6,5,2004,"TA","TA",848,"Y",0,848,1,0,1,"Gd",1,1,"Attchd",2,"Y",0,0,5,2006,155900,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,2,1,2,0,0,0,12024,848,2,1696,10,4008,"Q2","Q2.5","2","2.5"
"76",219,15660,3,"Lvl","AllPub","Corner","Gtl","1Fam",7,9,1939,"Gd","TA",798,"Y",0,1954,1,1,3,"Gd",1,2,"Attchd",2,"Y",0,119,5,2008,311500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,1,2,0,0,0,13573,2394,2,1596,9,1939,"Q2","Q2.5","2","2.5"
"1118",946,8820,4,"Lvl","AllPub","Corner","Gtl","1Fam",5,6,1890,"TA","TA",1088,"Y",120,1869,1,0,2,"TA",1,0,"Detchd",2,"Y",0,0,9,2009,124900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,1,0,2,0,0,9450,2176,3,2176,12,3780,"Q3","Q3.9","3","3.9"
"1054",840,11767,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1946,"TA","TA",768,"Y",0,1200,1,0,3,"TA",1,0,"Detchd",1,"Y",0,0,5,2008,130500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,1,0,1,0,0,9730,2304,3,1536,12,3892,"Q2","Q2.5","2","2.5"
"946",660,9937,4,"Lvl","AllPub","Corner","Gtl","1Fam",5,7,1964,"Gd","TA",1064.51174377224,"Y",0,1486,1,0,3,"TA",1,0,"Detchd",2,"Y",0,0,3,2009,167000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,1,0,2,0,0,9820,3193.53523131673,3,2129.02348754448,7,1964,"Q1","Q1.3","1","1.3"
"1386",1368,2665,4,"Lvl","AllPub","Inside","Gtl","TwnhsE",5,6,1977,"TA","TA",757,"Y",0,1475,2,0,4,"TA",1,1,"Attchd",1,"Y",0,26,7,2006,127000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,3,1,1,0,0,0,9885,3028,3,1514,12,3954,"Q3","Q3.7","3","3.7"
"323",955,9400,3,"Lvl","AllPub","CulDSac","Gtl","Duplex",6,5,1975,"TA","Gd",945,"Y",0,980,2,0,4,"TA",0,0,"Attchd",0,"Y",0,0,10,2006,127500,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,3,1,0,0,0,0,11850,3780,0,945,10,3950,"Q4","Q4.10","4","4.10"
"115",335,9042,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1998,"TA","TA",943,"Y",0,1638,2,1,3,"TA",1,2,"Attchd",2,"Y",0,38,7,2008,192000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,11988,2829,3,1886,10,3996,"Q3","Q3.7","3","3.7"
"850",513,9100,4,"Lvl","AllPub","Corner","Gtl","1Fam",5,5,1958,"TA","TA",864,"Y",0,864,1,0,3,"TA",1,0,"Detchd",2,"Y",0,0,7,2006,129900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,1,0,2,0,0,9790,2592,3,1728,10,3916,"Q3","Q3.7","3","3.7"
"608",120,8461,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,2005,"TA","TA",728,"Y",0,1456,2,1,3,"Gd",1,1,"Attchd",2,"Y",0,24,7,2006,163990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,12030,2184,2,1456,10,4010,"Q3","Q3.7","3","3.7"
"682",237,8773,4,"Lvl","AllPub","FR2","Gtl","1Fam",7,5,2004,"TA","TA",1414,"Y",0,1414,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,105,5,2010,185500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14028,4242,2,2828,10,4008,"Q2","Q2.5","2","2.5"
"1449",1455,7500,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2004,"TA","TA",1064.51174377224,"Y",0,1221,2,0,2,"Gd",1,0,"Attchd",2,"Y",0,113,10,2009,185000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14028,2129.02348754448,2,2129.02348754448,10,4008,"Q4","Q4.10","4","4.10"
"1120",948,14536,4,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,2002,"TA","TA",1064.51174377224,"Y",0,1629,2,0,3,"Gd",1,1,"Attchd",3,"Y",0,252,11,2007,270000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,3,0,0,0,16016,3193.53523131673,2,2129.02348754448,10,4004,"Q4","Q4.11","4","4.11"
"397",1187,10615,3,"Bnk","AllPub","Corner","Mod","2fmCon",3,5,1900,"TA","TA",978,"Y",0,1517.22206703911,2,0,3,"TA",2,0,"CarPort",2,"Y",0,74,8,2009,95000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,2,3,1,0,0,0,0,5700,2934,6,1956,10,3800,"Q3","Q3.8","3","3.8"
"989",736,10800,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,7,1914,"TA","TA",880,"N",0,1768,1,1,2,"TA",1,2,"Detchd",2,"N",0,341,10,2006,163000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,0,2,0,0,13398,1760,3,1760,14,3828,"Q4","Q4.10","4","4.10"
"392",1175,16560,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,8,1932,"TA","TA",952,"Y",0,2345,2,1,4,"TA",1,1,"Detchd",2,"Y",0,0,7,2006,239000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,1,0,2,0,0,11592,3808,3,1904,16,3864,"Q3","Q3.7","3","3.7"
"1428",1428,10930,4,"Bnk","AllPub","Inside","Gtl","1Fam",5,6,1945,"TA","TA",913,"Y",0,1558,1,1,3,"TA",1,1,"Attchd",1,"Y",0,0,4,2008,140000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,1,0,0,0,9725,2739,3,1826,12,3890,"Q2","Q2.4","2","2.4"
"744",342,8400,4,"Lvl","AllPub","Inside","Gtl","1Fam",4,4,1950,"Fa","Fa",721,"Y",0,841,1,0,2,"TA",1,0,"CarPort",1,"N",0,0,9,2009,82000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,3,3,3,0,0,0,0,7800,1442,3,2163,12,5850,"Q3","Q3.9","3","3.9"
"1346",1298,3675,4,"Lvl","AllPub","Inside","Gtl","TwnhsE",6,5,2005,"TA","TA",547,"Y",0,1072,2,0,2,"TA",1,0,"Basment",2,"Y",0,44,6,2006,140000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,2,3,1,0,0,0,2,12030,1094,3,1094,10,4010,"Q2","Q2.6","2","2.6"
"106",311,7685,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1993,"TA","TA",1064.51174377224,"Y",0,1501,2,1,3,"Gd",1,1,"Attchd",2,"Y",0,63,5,2006,165600,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,11958,3193.53523131673,2,2129.02348754448,10,3986,"Q2","Q2.5","2","2.5"
"11",25,8246,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,8,1968,"Gd","TA",1060,"Y",0,1060,1,0,3,"Gd",1,1,"Attchd",1,"Y",0,90,5,2010,154000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,1,1,0,0,0,9840,3180,2,2120,8,1968,"Q2","Q2.5","2","2.5"
"625",149,7500,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2004,"TA","TA",1080,"Y",0,1080,1,0,3,"Gd",1,0,"Attchd",0,"Y",0,0,4,2008,141000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,0,0,0,0,14028,3240,2,2160,10,4008,"Q2","Q2.4","2","2.4"
"1211",1083,8749,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2002,"TA","TA",1459,"Y",0,1459,2,0,3,"Gd",1,1,"Attchd",2,"Y",0,39,9,2007,192000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14014,4377,2,2918,10,4004,"Q3","Q3.9","3","3.9"
"403",1210,10182,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",8,5,2006,"TA","TA",1660,"Y",0,1660,2,0,3,"Gd",1,1,"Attchd",2,"Y",0,50,5,2006,290000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,16048,4980,2,3320,10,4012,"Q2","Q2.5","2","2.5"
"461",1376,10991,3,"HLS","AllPub","Inside","Gtl","1Fam",8,5,2007,"TA","TA",1571,"Y",0,1571,2,0,3,"Gd",1,1,"Attchd",3,"Y",0,36,12,2007,239000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,3,0,0,0,16056,4713,2,3142,10,4014,"Q4","Q4.12","4","4.12"
"1407",1394,10800,4,"Lvl","AllPub","Inside","Gtl","2fmCon",6,7,1905,"TA","TA",482,"N",0,1912,2,0,3,"TA",2,1,"Detchd",2,"Y",0,25,4,2008,163000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,2,3,1,0,2,0,0,11430,1446,6,964,14,3810,"Q2","Q2.4","2","2.4"
"31",93,13360,3,"HLS","AllPub","Inside","Gtl","1Fam",5,7,1921,"Gd","TA",1064.51174377224,"Y",0,964,1,0,2,"TA",1,0,"Detchd",2,"Y",0,0,8,2009,163500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,1,0,2,0,0,9605,2129.02348754448,3,2129.02348754448,7,1921,"Q3","Q3.8","3","3.8"
"1139",979,9450,4,"Bnk","AllPub","Inside","Mod","1Fam",4,5,1954,"TA","TA",894,"Y",0,894,1,0,3,"TA",1,0,"Detchd",2,"Y",0,0,5,2007,110000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,2,3,1,0,2,0,0,7816,2682,3,1788,10,3908,"Q2","Q2.5","2","2.5"
